Rk,Name,Pos,Tm,Salary
343,Cole Beasley\BeasCo00,WR,BUF,"$2,200,000 "
,Matt Prater\PratMa20,K,DET,"$2,200,000 "
345,Sheldon Rankins\RankSh00,DT,NOR,"$2,195,680 "
346,Laremy Tunsil\TunsLa00,OT,HOU,"$2,148,770 "
347,Karl Joseph\JoseKa00,SS,OAK,"$2,070,589 "
348,Daren Bates\BateDa00,LB,TEN,"$2,050,000 "
349,Christian McCaffrey\McCaCh01,RB,CAR,"$2,032,390 "
350,Caleb Benenoch\BeneCa00,OT,TAM,"$2,025,000 "
,Javon Hargrave\HargJa00,DT,PIT,"$2,025,000 "
,Graham Glasgow\GlasGr00,OG,DET,"$2,025,000 "
,Tyler Higbee\HigbTy00,TE,LAR,"$2,025,000 "
,Alex Lewis\LewiAl01,OT,NYJ,"$2,025,000 "
,Anthony Brown\BrowAn02,CB,DAL,"$2,025,000 "
,Halapoulivaati Vaitai\VaitHa00,OT,PHI,"$2,025,000 "
,De'Vondre Campbell\CampDe00,OLB,ATL,"$2,025,000 "
,Nick Kwiatkoski\KwiaNi00,ILB,CHI,"$2,025,000 "
,Elandon Roberts\RobeEl00,ILB,NWE,"$2,025,000 "
,Kenyan Drake\DrakKe00,RB,MIA,"$2,025,000 "
,Tajae Sharpe\SharTa00,WR,TEN,"$2,025,000 "
,Justin Simmons\SimmJu00,FS,DEN,"$2,025,000 "
,Ryan Smith\SmitRy00,CB,TAM,"$2,025,000 "
,Matthew Ioannidis\IoanMa01,DT,WAS,"$2,025,000 "
,Rashod Hill\HillRa01,T,MIN,"$2,025,000 "
,Matt Judon\JudoMa00,DE,BAL,"$2,025,000 "
,Blake Countess\CounBl00,CB,NYJ,"$2,025,000 "
,Joe Schobert\SchoJo00,OLB,CLE,"$2,025,000 "
,Jatavis Brown\BrowJa05,OLB,LAC,"$2,025,000 "
,Connor McGovern\McGoCo00,OG,DEN,"$2,025,000 "
,Trevor Williams\WillTr05,CB,ARI,"$2,025,000 "
,Blake Martinez\MartBl01,ILB,GNB,"$2,025,000 "
,Brandon Shell\ShelBr00,OT,NYJ,"$2,025,000 "
,Yannick Ngakoue\NgakYa00,OLB,JAX,"$2,025,000 "
,Maliek Collins\CollMa00,DT,DAL,"$2,025,000 "
,Xavier Grimble\GrimXa00,TE,PIT,"$2,025,000 "
,Brennan Scarlett\ScarBr00,LB,HOU,"$2,025,000 "
,Will Parks\ParkWi01,S,DEN,"$2,025,000 "
,Carl Nassib\NassCa00,DE,TAM,"$2,025,000 "
,Jordan Lucas\LucaJo00,SS,KAN,"$2,025,000 "
,David Onyemata\OnyeDa00,DT,NOR,"$2,025,000 "
,Brandon Dunn\DunnBr00,DT,HOU,"$2,025,000 "
,Quinton Jefferson\JeffQu00,DT,SEA,"$2,025,000 "
,Kevin Byard\ByarKe01,S,TEN,"$2,025,000 "
,D.J. Reader\ReadD.00,DT,HOU,"$2,025,000 "
,Wes Schweitzer\SchwWe00,OT,ATL,"$2,025,000 "
,Jordan Jenkins\JenkJo01,OLB,NYJ,"$2,025,000 "
,Jordan Howard\HowaJo00,RB,PHI,"$2,025,000 "
,Dak Prescott\PresDa01,QB,DAL,"$2,025,000 "
,Jalen Mills\MillJa02,CB,PHI,"$2,025,000 "
,Troy Hill\HillTr01,CB,LAR,"$2,025,000 "
,Joe Haeg\HaegJo00,OT,IND,"$2,025,000 "
,Austin Blythe\BlytAu00,C,LAR,"$2,025,000 "
,Austin Hooper\HoopAu00,TE,ATL,"$2,025,000 "
,Josh Gordon\GordJo02,WR,NWE,"$2,025,000 "
,Rashard Higgins\HiggRa00,WR,CLE,"$2,025,000 "
,Peyton Barber\BarbPe01,RB,TAM,"$2,025,000 "
,Kendall Fuller\FullKe00,CB,KAN,"$2,025,000 "
,Dean Lowry\LowrDe00,DE,GNB,"$2,025,000 "
400,John Ross\RossJo00,WR,CIN,"$2,020,988 "
401,Eric Murray\MurrEr00,CB,CLE,"$2,015,500 "
,Demarcus Robinson\RobiDe01,WR,KAN,"$2,015,500 "
403,Kyler Fackrell\FackKy00,OLB,GNB,"$2,010,000 "
404,Beau Allen\AlleBe00,DT,TAM,"$2,000,000 "
,Nick Vigil\VigiNi00,ILB,CIN,"$2,000,000 "
,Adam Humphries\HumpAd00,WR,TEN,"$2,000,000 "
,Stephen Hauschka\HausSt00,K,BUF,"$2,000,000 "
,Breshad Perriman\PerrBr02,WR,TAM,"$2,000,000 "
,Michael Schofield\SchoMi00,OT,LAC,"$2,000,000 "
,Jeff Heath\HeatJe00,S,DAL,"$2,000,000 "
,Jordan Hicks\HickJo00,OLB,ARI,"$2,000,000 "
,James Carpenter\CarpJa00,OL,ATL,"$2,000,000 "
